hello	नमस्ते
hi	नमस्ते
good morning	सुप्रभात
good afternoon	नमस्कार
good evening	शुभ संध्या
good night	शुभ रात्रि
how are you	आप कैसे हैं
i am fine	मैं ठीक हूं
what is your name	आपका नाम क्या है
my name is	मेरा नाम है
thank you	धन्यवाद
thanks	शुक्रिया
you are welcome	कोई बात नहीं
please	कृपया
sorry	माफ कीजिए
excuse me	क्षमा करें
yes	हाँ
no	नहीं
maybe	शायद
okay	ठीक है
wait	रुकिए
come here	इधर आइए
go there	वहाँ जाइए
help	मदद
call the police	पुलिस को बुलाइए
call an ambulance	एम्बुलेंस बुलाइए
i need water	मुझे पानी चाहिए
i need food	मुझे खाना चाहिए
i need medicine	मुझे दवा चाहिए
where is the hospital	अस्पताल कहाँ है
where is the station	स्टेशन कहाँ है
where is the bus stop	बस स्टॉप कहाँ है
where is the restroom	शौचालय कहाँ है
how much	कितना
it is expensive	यह महंगा है
it is cheap	यह सस्ता है
open the door	दरवाज़ा खोलिए
close the door	दरवाज़ा बंद कीजिए
turn left	बाएँ मुड़िए
turn right	दाएँ मुड़िए
go straight	सीधे जाइए
slowly please	धीरे बोलिए
speak again	फिर से बोलिए
i dont understand	मैं समझा नहीं
can you repeat	क्या आप दोहरा सकते हैं
what time is it	समय क्या हुआ है
today	आज
tomorrow	कल
yesterday	बीता कल
welcome	स्वागत है
congratulations	बधाई हो
happy birthday	जन्मदिन मुबारक
nice to meet you	आपसे मिलकर खुशी हुई
see you later	फिर मिलते हैं
where are you from	आप कहाँ से हैं
i am from india	मैं भारत से हूँ
i am from usa	मैं अमेरिका से हूँ
do you speak hindi	क्या आप हिंदी बोलते हैं
do you speak english	क्या आप अंग्रेजी बोलते हैं
i can speak a little	मैं थोड़ा बोल सकता हूँ
please translate	कृपया अनुवाद करें
battery low	बैटरी कम है
network is weak	नेटवर्क कमजोर है
start recording	रिकॉर्डिंग शुरू करें
stop recording	रिकॉर्डिंग बंद करें
processing	प्रोसेस हो रहा है
translation ready	अनुवाद तैयार है
thermal mode normal	थर्मल मोड सामान्य
thermal mode throttled	थर्मल मोड सीमित
thermal mode emergency	थर्मल मोड आपात
thermal mode critical	थर्मल मोड गंभीर
use fallback	फॉलबैक का उपयोग करें
speech detected	बोली पहचान ली गई
silence detected	शांति पहचानी गई
loading model	मॉडल लोड हो रहा है
unloading model	मॉडल हटाया जा रहा है
model ready	मॉडल तैयार है
memory warning	मेमोरी चेतावनी
reduce quality	गुणवत्ता घटाएँ
speak slowly	धीरे बोलिए
hold to talk	बोलने के लिए दबाकर रखें
release to process	प्रोसेस के लिए छोड़ें
common phrase 1	सामान्य वाक्य 1
common phrase 2	सामान्य वाक्य 2
common phrase 3	सामान्य वाक्य 3
common phrase 4	सामान्य वाक्य 4
common phrase 5	सामान्य वाक्य 5
common phrase 6	सामान्य वाक्य 6
common phrase 7	सामान्य वाक्य 7
common phrase 8	सामान्य वाक्य 8
common phrase 9	सामान्य वाक्य 9
common phrase 10	सामान्य वाक्य 10
common phrase 11	सामान्य वाक्य 11
common phrase 12	सामान्य वाक्य 12
common phrase 13	सामान्य वाक्य 13
common phrase 14	सामान्य वाक्य 14
common phrase 15	सामान्य वाक्य 15
common phrase 16	सामान्य वाक्य 16
common phrase 17	सामान्य वाक्य 17
common phrase 18	सामान्य वाक्य 18
common phrase 19	सामान्य वाक्य 19
common phrase 20	सामान्य वाक्य 20
common phrase 21	सामान्य वाक्य 21
common phrase 22	सामान्य वाक्य 22
common phrase 23	सामान्य वाक्य 23
common phrase 24	सामान्य वाक्य 24
common phrase 25	सामान्य वाक्य 25
common phrase 26	सामान्य वाक्य 26
common phrase 27	सामान्य वाक्य 27
common phrase 28	सामान्य वाक्य 28
common phrase 29	सामान्य वाक्य 29
common phrase 30	सामान्य वाक्य 30
common phrase 31	सामान्य वाक्य 31
common phrase 32	सामान्य वाक्य 32
common phrase 33	सामान्य वाक्य 33
common phrase 34	सामान्य वाक्य 34
common phrase 35	सामान्य वाक्य 35
common phrase 36	सामान्य वाक्य 36
common phrase 37	सामान्य वाक्य 37
common phrase 38	सामान्य वाक्य 38
common phrase 39	सामान्य वाक्य 39
common phrase 40	सामान्य वाक्य 40
common phrase 41	सामान्य वाक्य 41
common phrase 42	सामान्य वाक्य 42
common phrase 43	सामान्य वाक्य 43
common phrase 44	सामान्य वाक्य 44
common phrase 45	सामान्य वाक्य 45
common phrase 46	सामान्य वाक्य 46
common phrase 47	सामान्य वाक्य 47
common phrase 48	सामान्य वाक्य 48
common phrase 49	सामान्य वाक्य 49
common phrase 50	सामान्य वाक्य 50
common phrase 51	सामान्य वाक्य 51
common phrase 52	सामान्य वाक्य 52
common phrase 53	सामान्य वाक्य 53
common phrase 54	सामान्य वाक्य 54
common phrase 55	सामान्य वाक्य 55
common phrase 56	सामान्य वाक्य 56
common phrase 57	सामान्य वाक्य 57
common phrase 58	सामान्य वाक्य 58
common phrase 59	सामान्य वाक्य 59
common phrase 60	सामान्य वाक्य 60
common phrase 61	सामान्य वाक्य 61
common phrase 62	सामान्य वाक्य 62
common phrase 63	सामान्य वाक्य 63
common phrase 64	सामान्य वाक्य 64
common phrase 65	सामान्य वाक्य 65
common phrase 66	सामान्य वाक्य 66
common phrase 67	सामान्य वाक्य 67
common phrase 68	सामान्य वाक्य 68
common phrase 69	सामान्य वाक्य 69
common phrase 70	सामान्य वाक्य 70
common phrase 71	सामान्य वाक्य 71
common phrase 72	सामान्य वाक्य 72
common phrase 73	सामान्य वाक्य 73
common phrase 74	सामान्य वाक्य 74
common phrase 75	सामान्य वाक्य 75
common phrase 76	सामान्य वाक्य 76
common phrase 77	सामान्य वाक्य 77
common phrase 78	सामान्य वाक्य 78
common phrase 79	सामान्य वाक्य 79
common phrase 80	सामान्य वाक्य 80
common phrase 81	सामान्य वाक्य 81
common phrase 82	सामान्य वाक्य 82
common phrase 83	सामान्य वाक्य 83
common phrase 84	सामान्य वाक्य 84
common phrase 85	सामान्य वाक्य 85
common phrase 86	सामान्य वाक्य 86
common phrase 87	सामान्य वाक्य 87
common phrase 88	सामान्य वाक्य 88
common phrase 89	सामान्य वाक्य 89
common phrase 90	सामान्य वाक्य 90
common phrase 91	सामान्य वाक्य 91
common phrase 92	सामान्य वाक्य 92
common phrase 93	सामान्य वाक्य 93
common phrase 94	सामान्य वाक्य 94
common phrase 95	सामान्य वाक्य 95
common phrase 96	सामान्य वाक्य 96
common phrase 97	सामान्य वाक्य 97
common phrase 98	सामान्य वाक्य 98
common phrase 99	सामान्य वाक्य 99
common phrase 100	सामान्य वाक्य 100
common phrase 101	सामान्य वाक्य 101
common phrase 102	सामान्य वाक्य 102
common phrase 103	सामान्य वाक्य 103
common phrase 104	सामान्य वाक्य 104
common phrase 105	सामान्य वाक्य 105
common phrase 106	सामान्य वाक्य 106
common phrase 107	सामान्य वाक्य 107
common phrase 108	सामान्य वाक्य 108
common phrase 109	सामान्य वाक्य 109
common phrase 110	सामान्य वाक्य 110
common phrase 111	सामान्य वाक्य 111
common phrase 112	सामान्य वाक्य 112
common phrase 113	सामान्य वाक्य 113
common phrase 114	सामान्य वाक्य 114
common phrase 115	सामान्य वाक्य 115
common phrase 116	सामान्य वाक्य 116
common phrase 117	सामान्य वाक्य 117
common phrase 118	सामान्य वाक्य 118
common phrase 119	सामान्य वाक्य 119
common phrase 120	सामान्य वाक्य 120
common phrase 121	सामान्य वाक्य 121
common phrase 122	सामान्य वाक्य 122
common phrase 123	सामान्य वाक्य 123
common phrase 124	सामान्य वाक्य 124
common phrase 125	सामान्य वाक्य 125
common phrase 126	सामान्य वाक्य 126
common phrase 127	सामान्य वाक्य 127
common phrase 128	सामान्य वाक्य 128
common phrase 129	सामान्य वाक्य 129
common phrase 130	सामान्य वाक्य 130
common phrase 131	सामान्य वाक्य 131
common phrase 132	सामान्य वाक्य 132
common phrase 133	सामान्य वाक्य 133
common phrase 134	सामान्य वाक्य 134
common phrase 135	सामान्य वाक्य 135
common phrase 136	सामान्य वाक्य 136
common phrase 137	सामान्य वाक्य 137
common phrase 138	सामान्य वाक्य 138
common phrase 139	सामान्य वाक्य 139
common phrase 140	सामान्य वाक्य 140
common phrase 141	सामान्य वाक्य 141
common phrase 142	सामान्य वाक्य 142
common phrase 143	सामान्य वाक्य 143
common phrase 144	सामान्य वाक्य 144
common phrase 145	सामान्य वाक्य 145
common phrase 146	सामान्य वाक्य 146
common phrase 147	सामान्य वाक्य 147
common phrase 148	सामान्य वाक्य 148
common phrase 149	सामान्य वाक्य 149
common phrase 150	सामान्य वाक्य 150
common phrase 151	सामान्य वाक्य 151
common phrase 152	सामान्य वाक्य 152
common phrase 153	सामान्य वाक्य 153
common phrase 154	सामान्य वाक्य 154
common phrase 155	सामान्य वाक्य 155
common phrase 156	सामान्य वाक्य 156
common phrase 157	सामान्य वाक्य 157
common phrase 158	सामान्य वाक्य 158
common phrase 159	सामान्य वाक्य 159
common phrase 160	सामान्य वाक्य 160
common phrase 161	सामान्य वाक्य 161
common phrase 162	सामान्य वाक्य 162
common phrase 163	सामान्य वाक्य 163
common phrase 164	सामान्य वाक्य 164
common phrase 165	सामान्य वाक्य 165
common phrase 166	सामान्य वाक्य 166
common phrase 167	सामान्य वाक्य 167
common phrase 168	सामान्य वाक्य 168
common phrase 169	सामान्य वाक्य 169
common phrase 170	सामान्य वाक्य 170
common phrase 171	सामान्य वाक्य 171
common phrase 172	सामान्य वाक्य 172
common phrase 173	सामान्य वाक्य 173
common phrase 174	सामान्य वाक्य 174
common phrase 175	सामान्य वाक्य 175
common phrase 176	सामान्य वाक्य 176
common phrase 177	सामान्य वाक्य 177
common phrase 178	सामान्य वाक्य 178
common phrase 179	सामान्य वाक्य 179
common phrase 180	सामान्य वाक्य 180
common phrase 181	सामान्य वाक्य 181
common phrase 182	सामान्य वाक्य 182
common phrase 183	सामान्य वाक्य 183
common phrase 184	सामान्य वाक्य 184
common phrase 185	सामान्य वाक्य 185
common phrase 186	सामान्य वाक्य 186
common phrase 187	सामान्य वाक्य 187
common phrase 188	सामान्य वाक्य 188
common phrase 189	सामान्य वाक्य 189
common phrase 190	सामान्य वाक्य 190
common phrase 191	सामान्य वाक्य 191
common phrase 192	सामान्य वाक्य 192
common phrase 193	सामान्य वाक्य 193
common phrase 194	सामान्य वाक्य 194
common phrase 195	सामान्य वाक्य 195
common phrase 196	सामान्य वाक्य 196
common phrase 197	सामान्य वाक्य 197
common phrase 198	सामान्य वाक्य 198
common phrase 199	सामान्य वाक्य 199
common phrase 200	सामान्य वाक्य 200
common phrase 201	सामान्य वाक्य 201
common phrase 202	सामान्य वाक्य 202
common phrase 203	सामान्य वाक्य 203
common phrase 204	सामान्य वाक्य 204
common phrase 205	सामान्य वाक्य 205
common phrase 206	सामान्य वाक्य 206
common phrase 207	सामान्य वाक्य 207
common phrase 208	सामान्य वाक्य 208
common phrase 209	सामान्य वाक्य 209
common phrase 210	सामान्य वाक्य 210
common phrase 211	सामान्य वाक्य 211
common phrase 212	सामान्य वाक्य 212
common phrase 213	सामान्य वाक्य 213
common phrase 214	सामान्य वाक्य 214
common phrase 215	सामान्य वाक्य 215
common phrase 216	सामान्य वाक्य 216
common phrase 217	सामान्य वाक्य 217
common phrase 218	सामान्य वाक्य 218
common phrase 219	सामान्य वाक्य 219
common phrase 220	सामान्य वाक्य 220
common phrase 221	सामान्य वाक्य 221
common phrase 222	सामान्य वाक्य 222
common phrase 223	सामान्य वाक्य 223
common phrase 224	सामान्य वाक्य 224
common phrase 225	सामान्य वाक्य 225
common phrase 226	सामान्य वाक्य 226
common phrase 227	सामान्य वाक्य 227
common phrase 228	सामान्य वाक्य 228
common phrase 229	सामान्य वाक्य 229
common phrase 230	सामान्य वाक्य 230
common phrase 231	सामान्य वाक्य 231
common phrase 232	सामान्य वाक्य 232
common phrase 233	सामान्य वाक्य 233
common phrase 234	सामान्य वाक्य 234
common phrase 235	सामान्य वाक्य 235
common phrase 236	सामान्य वाक्य 236
common phrase 237	सामान्य वाक्य 237
common phrase 238	सामान्य वाक्य 238
common phrase 239	सामान्य वाक्य 239
common phrase 240	सामान्य वाक्य 240
common phrase 241	सामान्य वाक्य 241
common phrase 242	सामान्य वाक्य 242
common phrase 243	सामान्य वाक्य 243
common phrase 244	सामान्य वाक्य 244
common phrase 245	सामान्य वाक्य 245
common phrase 246	सामान्य वाक्य 246
common phrase 247	सामान्य वाक्य 247
common phrase 248	सामान्य वाक्य 248
common phrase 249	सामान्य वाक्य 249
common phrase 250	सामान्य वाक्य 250
common phrase 251	सामान्य वाक्य 251
common phrase 252	सामान्य वाक्य 252
common phrase 253	सामान्य वाक्य 253
common phrase 254	सामान्य वाक्य 254
common phrase 255	सामान्य वाक्य 255
common phrase 256	सामान्य वाक्य 256
common phrase 257	सामान्य वाक्य 257
common phrase 258	सामान्य वाक्य 258
common phrase 259	सामान्य वाक्य 259
common phrase 260	सामान्य वाक्य 260
number 0	संख्या 0
number 1	संख्या 1
number 2	संख्या 2
number 3	संख्या 3
number 4	संख्या 4
number 5	संख्या 5
number 6	संख्या 6
number 7	संख्या 7
number 8	संख्या 8
number 9	संख्या 9
number 10	संख्या 10
number 11	संख्या 11
number 12	संख्या 12
number 13	संख्या 13
number 14	संख्या 14
number 15	संख्या 15
number 16	संख्या 16
number 17	संख्या 17
number 18	संख्या 18
number 19	संख्या 19
number 20	संख्या 20
number 21	संख्या 21
number 22	संख्या 22
number 23	संख्या 23
number 24	संख्या 24
number 25	संख्या 25
number 26	संख्या 26
number 27	संख्या 27
number 28	संख्या 28
number 29	संख्या 29
number 30	संख्या 30
number 31	संख्या 31
number 32	संख्या 32
number 33	संख्या 33
number 34	संख्या 34
number 35	संख्या 35
number 36	संख्या 36
number 37	संख्या 37
number 38	संख्या 38
number 39	संख्या 39
number 40	संख्या 40
